province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16334210,8077407,8256803,6,6.1,6.1,6.1,5.9,29,26.5,10.7,3.6,80.7,19.3,8.7,10.5,11.3,8.3,40563,41720,13731,5354,34004,171358,148753,60036,30731,26.6,33.7,18.6, , , 
Groningen,574042,285089,288953,5.5,5.6,5.6,6.2,7.8,28.4,26.3,10.7,4.1,87.7,12.3,6.8,5.5,10.2,9.2,1555,1640,516,202,1345,5162,5497,2924,2611,23.9,29.4,17.6, , , 
Friesland,642230,320611,321619,6.1,6.3,6.3,6.3,5.8,27.2,26.8,11.2,3.9,91.8,8.2,4.7,3.5,11.3,9.2,1780,1841,600,232,1470,7094,6957,2523,282,23.5,29.6,16.5, , , 
Drenthe,484481,239540,244941,5.9,6.3,6.2,5.9,4.7,26.4,28.3,12.3,4.1,91.5,8.5,5.5,3,10.3,9,1257,1363,474,171,1081,5412,4841,1115,235,24.3,30.9,16.8, , , 
Overijssel,1113529,556103,557426,6.5,6.5,6.3,6.3,6.2,28.5,25.4,10.8,3.5,86.2,13.8,6.9,6.9,12.3,8.4,2774,2991,1001,373,2265,12564,12410,4632,1192,24.2,30.7,16.7, , , 
Flevoland,370656,185120,185536,7.6,7.6,7.5,7.1,6.3,31.3,23.9,6.7,2.1,74.7,25.3,8.1,17.2,13.9,5.4,668,587,221,90,460,4613,4220,1272,250,26.6,33.6,18.8, , , 
Gelderland,1975704,974987,1000717,6.1,6.3,6.3,6.2,5.7,28.2,26.7,10.9,3.5,86.3,13.7,7.5,6.2,11.2,8.3,4956,4999,1779,643,3967,21753,18702,6603,3362,25.8,32.9,17.7, , , 
Utrecht,1180039,576277,603762,6.7,6.3,6,6.1,6.5,30.7,24.9,9.4,3.3,80.7,19.3,8.2,11.1,13,7.4,2664,2576,853,380,2240,11864,9191,4823,3760,29.6,37.7,20.9, , , 
Noord-Holland,2606584,1281597,1324987,6.1,5.9,5.8,5.6,5.6,30.8,26.3,10.1,3.7,73.5,26.5,10.5,16,11.7,8.1,6220,6291,2111,943,5504,25033,20664,8701,6057,28.6,35.9,20.8, , , 
Zuid-Holland ,3458875,1703562,1755313,6.1,6,6.1,6.2,6.3,29.6,25.7,10.3,3.8,73.9,26.1,9.1,17,11.7,8.4,8540,8969,2915,1096,7533,35611,30752,11785,6859,27.7,35.2,19.5, , , 
Zeeland,380186,188208,191978,5.6,6.2,6.2,5.8,5,26.1,27.9,12.3,4.8,85.1,14.9,10.3,4.6,10,9.5,1035,1140,324,119,989,4115,3611,983,117,25,32.4,16.5, , , 
Noord-Brabant,2415946,1205186,1210760,5.8,6.1,6.2,6,5.7,28.7,27.2,11.1,3.1,84.9,15.1,7.8,7.3,10.8,7.9,6007,5976,1987,726,4442,25830,21428,9012,3298,26.2,33.5,17.7, , , 
Limburg,1131938,561127,570811,4.9,5.5,5.9,6,5.3,26.8,29.4,12.7,3.7,80.4,19.6,14.4,5.2,8.7,9.3,3107,3347,950,379,2708,11896,9739,3461,1509,24.3,30.8,17, , , 
